PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,AVG_SPEED,DIST_MILES,AVG_SPEED_OFF,AVG_SPEED_DEF,STL,BLK,DRIVE_PTS,CATCH_SHOOT_PTS,PULL_UP_PTS,PAINT_TOUCH_PTS,SEASON_LABEL
203085,Austin Rivers,NOP,69,1339.0,6.03,6.25,2758,47,7,46,4.21,93.8,4.58,3.82,45,9,284,99,51,31,2013-14
202340,Avery Bradley,BOS,60,1855.0,2.92,2.7,2785,57,1,116,4.39,135.7,4.58,4.2,63,11,95,354,233,80,2013-14
2732,Ben Gordon,CHA,19,279.0,2.36,1.55,411,9,1,5,4.27,19.8,4.7,3.85,10,2,23,27,23,2,2013-14
203463,Ben McLemore,SAC,81,2169.0,1.95,1.17,2310,106,13,97,4.55,164.2,4.81,4.28,43,18,80,312,93,64,2013-14
2757,Beno Udrih,MEM,41,643.0,4.7,4.7,1557,15,2,26,4.47,47.8,4.84,4.08,23,4,61,63,64,2,2013-14
203108,Bernard James,DAL,30,146.0,1.53,0.31,131,23,0,33,4.24,10.3,4.27,4.21,3,8,0,0,0,24,2013-14
202687,Bismack Biyombo,CHA,76,1061.0,1.64,0.48,712,34,17,228,4.2,74.0,4.41,3.98,7,86,3,14,0,166,2013-14
201933,Blake Griffin,LAC,80,2863.0,2.08,0.93,6294,725,870,717,3.96,188.6,4.24,3.7,92,51,138,312,84,541,2013-14
2564,Boris Diaw,SAS,79,1974.0,1.72,0.7,3894,201,228,235,4.3,141.6,4.79,3.83,44,32,129,189,58,177,2013-14
203078,Bradley Beal,WAS,72,2494.0,2.54,2.01,4166,107,21,90,4.34,179.5,4.64,4.06,70,18,140,419,405,70,2013-14
201148,Brandan Wright,DAL,58,1077.0,1.34,0.4,1255,211,23,314,4.03,72.2,4.05,4.01,32,55,20,30,12,323,2013-14
101138,Brandon Bass,BOS,82,2266.0,1.9,0.72,3139,241,363,360,4.04,152.4,4.23,3.84,36,71,67,224,112,272,2013-14
203561,Brandon Davies,PHI,51,575.0,1.56,0.39,901,70,60,119,4.61,44.1,4.97,4.27,24,8,9,16,8,79,2013-14
201943,Brandon Jennings,DET,80,2728.0,5.55,5.83,6548,57,2,68,4.29,194.7,4.69,3.89,101,8,286,185,501,30,2013-14
202688,Brandon Knight,MIL,72,2400.0,4.83,5.05,6009,89,8,95,4.31,172.4,4.75,3.87,69,17,379,214,376,56,2013-14
201575,Brandon Rush,UTA,38,418.0,2.04,1.02,530,3,0,5,4.22,29.4,4.41,4.02,5,9,17,45,23,0,2013-14
203148,Brian Roberts,NOP,72,1667.0,5.6,5.77,3692,59,3,24,4.4,122.1,4.81,3.99,43,7,195,175,261,6,2013-14
201572,Brook Lopez,BKN,17,533.0,1.99,0.65,683,83,186,141,3.83,34.0,3.91,3.73,9,30,16,64,20,143,2013-14
201957,Byron Mullens,PHI,45,414.0,1.35,0.24,763,37,38,53,4.16,28.7,4.53,3.82,15,11,0,112,9,52,2013-14
201228,C.J. Watson,IND,63,1193.0,4.84,4.81,2485,21,3,45,4.37,86.7,4.66,4.08,60,8,50,138,103,50,2013-14
203468,CJ McCollum,POR,38,476.0,3.21,2.76,676,11,1,12,4.5,35.6,4.89,4.1,14,2,45,83,53,10,2013-14
101139,CJ Miles,CLE,51,984.0,1.95,1.12,1249,40,4,22,4.25,69.4,4.58,3.92,46,15,66,242,87,20,2013-14
201171,Carl Landry,SAC,18,233.0,1.83,0.43,321,33,28,39,4.08,15.8,4.21,3.93,3,1,0,28,2,33,2013-14
2430,Carlos Boozer,CHI,76,2141.0,1.64,0.45,3571,463,500,468,3.75,133.3,3.87,3.61,53,22,76,310,78,383,2013-14
2546,Carmelo Anthony,NYK,77,2982.0,3.51,2.35,5375,345,625,263,3.76,186.5,3.87,3.65,95,51,287,630,595,225,2013-14
2406,Caron Butler,OKC,55,1394.0,2.02,0.85,2165,78,97,44,3.85,89.5,4.0,3.71,47,17,31,334,141,29,2013-14
203467,Carrick Felix,CLE,7,38.0,2.38,1.38,58,4,0,3,4.72,3.0,5.34,4.23,0,0,0,6,0,6,2013-14
201858,Cartier Martin,ATL,59,870.0,1.94,1.14,1084,13,1,43,4.36,62.6,4.68,4.05,27,7,22,182,39,46,2013-14
203810,Casper Ware,PHI,9,116.0,4.35,4.6,252,3,0,4,4.74,9.1,5.22,4.32,8,0,15,15,8,4,2013-14
202718,Chandler Parsons,HOU,74,2783.0,2.49,1.48,4439,86,23,161,4.34,200.8,4.75,3.95,88,29,327,386,116,123,2013-14
101112,Channing Frye,PHX,82,2312.0,1.42,0.25,3915,118,156,130,3.93,150.9,4.35,3.52,60,63,35,591,57,121,2013-14
101111,Charlie Villanueva,DET,20,180.0,1.33,0.32,338,13,7,16,4.08,12.2,4.36,3.8,4,5,13,41,9,17,2013-14
201978,Chase Budinger,MIN,41,751.0,1.56,0.67,839,42,2,37,4.16,51.8,4.51,3.82,19,2,34,135,21,30,2013-14
1497,Chauncey Billups,DET,19,309.0,5.01,4.45,575,1,4,7,3.97,20.4,4.21,3.72,8,1,7,31,27,0,2013-14
2365,Chris Andersen,MIA,72,1396.0,1.33,0.19,1442,87,8,371,4.14,96.1,4.13,4.14,32,97,7,25,2,344,2013-14
203569,Chris Babb,BOS,14,132.0,1.54,0.67,150,2,0,5,4.36,9.6,4.64,4.0,6,0,2,15,3,2,2013-14
2547,Chris Bosh,MIA,79,2531.0,1.52,0.48,3914,331,96,368,3.82,160.8,3.87,3.77,80,78,135,487,95,380,2013-14
203142,Chris Copeland,IND,41,265.0,1.88,0.66,381,11,10,12,3.81,16.8,3.96,3.65,3,7,32,90,13,8,2013-14
201604,Chris Douglas-Roberts,CHA,48,994.0,2.42,1.3,1043,10,2,21,4.26,70.7,4.46,4.05,27,16,63,144,21,25,2013-14
203187,Chris Johnson,BOS,40,789.0,1.68,0.87,916,22,2,59,4.67,61.3,5.08,4.27,27,4,17,125,16,49,2013-14
2549,Chris Kaman,LAL,39,736.0,1.78,0.61,1535,181,130,208,4.23,51.8,4.5,3.97,11,40,29,102,42,178,2013-14
101108,Chris Paul,LAC,62,2171.0,5.03,4.63,5958,114,107,56,4.05,146.2,4.52,3.62,154,4,365,137,495,28,2013-14
202698,Chris Singleton,WAS,25,250.0,1.82,0.78,386,13,3,30,4.34,18.0,4.53,4.08,9,3,11,23,12,17,2013-14
203147,Chris Smith,NYK,2,2.0,3.65,2.67,3,0,0,0,3.06,0.1,5.84,6.42,0,0,0,0,0,0,2013-14
202874,Chris Wright,MIL,8,126.0,1.5,0.66,136,5,0,24,4.65,9.7,4.89,4.41,7,5,5,2,0,27,2013-14
