PLAYER_ID,PLAYER_NAME,SEASON_LABEL,OFF_SPEED,DEF_SPEED,TIME_PER_TOUCH,DRIBBLES_PER_TOUCH,PTS_PER_TOUCH,DRIVE_PCT,CATCH_SHOOT_PCT,PULL_UP_PCT,PAINT_TOUCH_PCT,ARCHETYPE_ID,ARCHETYPE_CONFIDENCE
1889,Andre Miller,2013-14,4.18,3.54,5.0,4.56,0.0991571641051066,0.495,0.17,0.225,0.11,1,0.6595362763815286
200745,Andrea Bargnani,2013-14,3.88,3.73,1.63,0.46,0.2753623188405797,0.1578947368421052,0.49317738791423,0.0994152046783625,0.2495126705653021,5,0.5255531914584536
1905,Andrei Kirilenko,2013-14,4.54,4.12,2.15,0.73,0.1409455842997324,0.189873417721519,0.0569620253164556,0.0253164556962025,0.7278481012658228,4,0.8386813080540089
101106,Andrew Bogut,2013-14,4.33,3.56,1.75,0.65,0.1513284559106661,0.0407124681933842,0.0203562340966921,0.0254452926208651,0.9134860050890584,2,0.9709976552557404
101115,Andrew Bynum,2013-14,3.78,3.64,2.3,0.72,0.1946902654867256,0.0151515151515151,0.1818181818181818,0.0909090909090909,0.7121212121212122,4,0.9998820563651665
203094,Andrew Nicholson,2013-14,4.41,3.97,1.72,0.46,0.2167553191489361,0.058282208588957,0.6380368098159509,0.0674846625766871,0.2361963190184049,5,0.6307290863790652
1712,Antawn Jamison,2013-14,4.93,4.01,1.24,0.26,0.1544885177453027,0.1621621621621621,0.4054054054054054,0.054054054054054,0.3783783783783784,3,0.8978372756732279
203461,Anthony Bennett,2013-14,4.78,3.91,1.37,0.36,0.1470327723649247,0.1144578313253012,0.4216867469879518,0.0903614457831325,0.3734939759036144,3,0.6425892662083772
203076,Anthony Davis,2013-14,4.36,3.91,1.9,0.51,0.2773925104022191,0.15,0.224,0.1,0.526,4,0.9920873549409036
201627,Anthony Morrow,2013-14,4.36,3.93,2.11,1.22,0.4072272411396803,0.1552901023890785,0.5255972696245734,0.2457337883959044,0.0733788395904436,0,0.6974292704207786
201576,Anthony Randolph,2013-14,4.63,3.85,2.19,1.19,0.1787025703794369,0.2123287671232876,0.5068493150684932,0.0410958904109589,0.2397260273972602,3,0.5250972384137155
201229,Anthony Tolliver,2013-14,4.61,3.96,1.3,0.27,0.2330677290836653,0.0541310541310541,0.8746438746438746,0.0284900284900284,0.0427350427350427,5,0.4964728875382466
203462,Archie Goodwin,2013-14,4.72,4.19,2.86,2.16,0.1659919028340081,0.5691056910569106,0.1544715447154471,0.032520325203252,0.2439024390243902,8,0.8401520228130632
201167,Arron Afflalo,2013-14,4.51,3.84,2.67,1.88,0.2456627342123525,0.1817325800376648,0.4604519774011299,0.3116760828625235,0.0461393596986817,7,0.6377954153526709
203085,Austin Rivers,2013-14,4.58,3.82,6.03,6.25,0.168600435097897,0.610752688172043,0.2129032258064516,0.1096774193548387,0.0666666666666666,1,0.962273342055851
202340,Avery Bradley,2013-14,4.58,4.2,2.92,2.7,0.2736086175942549,0.1246719160104986,0.4645669291338583,0.305774278215223,0.1049868766404199,0,0.7113009656299558
2732,Ben Gordon,2013-14,4.7,3.85,2.36,1.55,0.1824817518248175,0.3066666666666666,0.36,0.3066666666666666,0.0266666666666666,7,0.8547975255898622
203463,Ben McLemore,2013-14,4.81,4.28,1.95,1.17,0.2376623376623376,0.145719489981785,0.5683060109289617,0.1693989071038251,0.116575591985428,0,0.4655200278074892
2757,Beno Udrih,2013-14,4.84,4.08,4.7,4.7,0.1220295439948619,0.3210526315789473,0.331578947368421,0.3368421052631579,0.0105263157894736,9,0.9186104873999487
