PLAYER_ID,PLAYER_NAME,SEASON_LABEL,GP,MIN,PTS,REB,AST,STL,BLK,TOV,PF,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,FG_PCT,FG3_PCT,FT_PCT,3P_RATE,FT_RATE,TS_PCT,AST_TOV
255,Grant Hill,2010-11,80,30.1,13.2,4.225,2.5,0.8,0.4375,1.675,2.3,399,825,45,114,213,257,77,261,0.48363636363636364,0.39473684210526316,0.8287937743190662,0.13818181818181818,0.3115151515151515,0.0070356472795497175,1.4925373134328357
255,Grant Hill,2011-12,49,28.102040816326532,10.183673469387756,3.489795918367347,2.183673469387755,0.8367346938775511,0.5918367346938775,1.3265306122448979,1.7959183673469388,201,451,14,53,83,109,29,142,0.44567627494456763,0.2641509433962264,0.7614678899082569,0.11751662971175167,0.24168514412416853,0.010204899660681974,1.6461538461538463
255,Grant Hill,2012-13,29,15.0,3.206896551724138,1.6896551724137931,0.896551724137931,0.3793103448275862,0.2413793103448276,0.8620689655172413,1.3448275862068966,38,98,3,11,14,24,6,43,0.3877551020408163,0.2727272727272727,0.5833333333333334,0.11224489795918367,0.24489795918367346,0.014770157294234238,1.04
406,Shaquille O'Neal,2010-11,37,20.2972972972973,9.216216216216216,4.8108108108108105,0.7027027027027027,0.43243243243243246,1.135135135135135,1.5135135135135136,3.2432432432432434,134,201,0,0,73,131,48,130,0.6666666666666666,0.0,0.5572519083969466,0.0,0.6517412935323383,0.01781668770533602,0.4642857142857143
436,Juwan Howard,2010-11,57,10.350877192982455,2.43859649122807,2.1403508771929824,0.40350877192982454,0.17543859649122806,0.07017543859649122,0.43859649122807015,1.0701754385964912,55,125,0,0,29,35,36,86,0.44,0.0,0.8285714285714286,0.0,0.28,0.008684460438846403,0.92
436,Juwan Howard,2011-12,28,6.857142857142857,1.5,1.6785714285714286,0.35714285714285715,0.14285714285714285,0.03571428571428571,0.7142857142857143,0.6428571428571429,17,55,0,0,8,10,18,29,0.3090909090909091,0.0,0.8,0.0,0.18181818181818182,0.012626262626262626,0.5
467,Jason Kidd,2010-11,80,33.1,7.875,4.3875,8.1875,1.675,0.3625,2.2375,1.4875,215,596,133,391,67,77,35,316,0.36073825503355705,0.340153452685422,0.8701298701298701,0.6560402684563759,0.12919463087248323,0.006251190702991046,3.659217877094972
467,Jason Kidd,2011-12,48,28.791666666666668,6.229166666666667,4.125,5.5,1.7083333333333333,0.20833333333333334,1.8958333333333333,1.7291666666666667,99,273,79,223,22,28,15,183,0.3626373626373626,0.3542600896860987,0.7857142857142857,0.8168498168498168,0.10256410256410256,0.01091610589279873,2.901098901098901
467,Jason Kidd,2012-13,76,26.907894736842106,6.026315789473684,4.25,3.276315789473684,1.644736842105263,0.32894736842105265,1.0,1.644736842105263,152,409,114,325,40,48,50,273,0.37163814180929094,0.3507692307692308,0.8333333333333334,0.7946210268948656,0.11735941320293398,0.007005388948983637,3.276315789473684
686,Antonio McDyess,2010-11,73,19.0,5.342465753424658,5.410958904109589,1.1506849315068493,0.4931506849315068,0.5342465753424658,0.9863013698630136,2.232876712328767,169,344,0,1,52,77,122,273,0.49127906976744184,0.0,0.6753246753246753,0.0029069767441860465,0.2238372093023256,0.007068997768371782,1.1666666666666667
689,Theo Ratliff,2010-11,10,7.0,0.2,1.3,0.3,0.2,0.5,0.3,0.7,1,6,0,0,0,2,6,7,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.014534883720930234,1.0
693,Joe Smith,2010-11,16,4.375,0.5,1.3125,0.25,0.0,0.25,0.3125,0.8125,3,16,0,0,2,2,3,18,0.1875,0.0,1.0,0.0,0.125,0.01481042654028436,0.8
703,Kurt Thomas,2010-11,52,22.692307692307693,4.0576923076923075,5.788461538461538,1.1538461538461537,0.6153846153846154,0.8076923076923077,0.8076923076923077,3.1538461538461537,95,186,1,1,20,32,75,226,0.510752688172043,1.0,0.625,0.005376344086021506,0.17204301075268819,0.010140174699351029,1.4285714285714284
703,Kurt Thomas,2011-12,53,15.075471698113208,3.018867924528302,3.547169811320755,0.8679245283018868,0.4528301886792453,0.5849056603773585,0.5849056603773585,2.3207547169811322,73,157,0,0,14,20,39,149,0.46496815286624205,0.0,0.7,0.0,0.12738853503184713,0.009103944283860983,1.4838709677419355
703,Kurt Thomas,2012-13,39,10.076923076923077,2.4871794871794872,2.282051282051282,0.5384615384615384,0.2564102564102564,0.41025641025641024,0.20512820512820512,1.3333333333333333,45,83,1,1,6,13,24,65,0.5421686746987951,1.0,0.46153846153846156,0.012048192771084338,0.1566265060240964,0.014017016947585028,2.625
708,Kevin Garnett,2010-11,71,31.239436619718308,14.873239436619718,8.887323943661972,2.408450704225352,1.3380281690140845,0.8028169014084507,1.619718309859155,2.084507042253521,434,822,1,5,187,217,83,548,0.5279805352798054,0.2,0.8617511520737328,0.006082725060827251,0.2639902676399027,0.008105484281193986,1.4869565217391303
